ticket_number,requestor_fname,requestor_lname,owner_group,issue_category,ticket_type,severity,days_open,statisfaction_score,ticket status,created_date
940-942971-9491-8-F,Kassey,Kop,Security and Governance,Access/Login,Request,0 - Unassigned,2,0 - Unknown,Resolved,8/20/2020
220-323318-2821-2-N,Ian,Charrisson,Security and Governance,Access/Login,Issue,2 - Medium,14,1 - Unsatisfied,Waiting for Requestor Feedback,3/14/2020
468-857034-5361-1-Y,Enriqueta,Olyff,Architecture,Hardware,Issue,2 - Medium,6,0 - Unknown,Resolved,3/6/2020
009-209930-8789-1-C,Lavena,Halden,Architecture,Hardware,Issue,2 - Medium,5,2 - Satisfied,Open,10/9/2020
401-076841-7298-4-I,Cob,Gorringe,Software,Access/Login,Request,0 - Unassigned,22,3 - Highly Satisfied,Resolved,7/28/2020
621-315542-6727-4-S,Gael,Palphramand,Networking,Hardware,Request,1 - Low,27,2 - Satisfied,Open,7/16/2020
852-834110-6213-4-X,Ram,Ansty,Software,Software,Issue,2 - Medium,19,0 - Unknown,Open,6/9/2020
027-758166-8565-1-H,Javier,Florey,Security and Governance,Access/Login,Request,0 - Unassigned,32,0 - Unknown,Open,7/17/2020
093-883002-0216-9-X,Wylma,Antonomoli,Networking,Access/Login,Request,3 - High,11,2 - Satisfied,Open,6/20/2020
329-985195-6403-8-C,Desmond,Featherstone,Networking,Hardware,Request,1 - Low,2,2 - Satisfied,Open,7/14/2020
940-416875-4059-3-K,Henriette,Willstrop,Hardware,Hardware,Issue,0 - Unassigned,32,0 - Unknown,Waiting for Requestor Feedback,10/1/2020
070-641297-2016-1-L,Janina,Fidal,Networking,Access/Login,Request,1 - Low,6,2 - Satisfied,Open,5/4/2020
808-667886-8196-8-K,Neala,Spriggen,Networking,Hardware,Request,1 - Low,10,0 - Unknown,Open,10/2/2020
854-692006-1909-5-F,De,Iorns,Security and Governance,Access/Login,Request,2 - Medium,35,2 - Satisfied,Open,7/13/2020
797-198133-7352-2-J,Amby,Frizzell,Hardware,Hardware,Request,1 - Low,19,2 - Satisfied,Open,4/16/2020
694-698681-6229-6-H,Eirena,Shilstone,Hardware,Systems,Request,1 - Low,37,1 - Unsatisfied,Open,9/19/2020
358-212735-7431-1-O,Keenan,Sprionghall,Architecture,Systems,Request,2 - Medium,31,1 - Unsatisfied,Waiting for Requestor Feedback,6/14/2020
239-311329-2603-5-F,Michal,Pulver,Hardware,Systems,Issue,2 - Medium,22,3 - Highly Satisfied,Waiting for Requestor Feedback,7/2/2020
501-877217-3847-3-N,Beckie,Bramsen,Hardware,Hardware,Request,1 - Low,1,3 - Highly Satisfied,Open,10/2/2020
585-373273-2814-3-K,Rawley,Lawless,Software,Access/Login,Issue,1 - Low,26,3 - Highly Satisfied,Open,8/4/2020
570-805794-5527-8-K,Howie,Guerro,Hardware,Hardware,Issue,0 - Unassigned,32,0 - Unknown,Open,8/19/2020
590-923769-1107-9-U,Karyn,Ring,Hardware,Hardware,Request,0 - Unassigned,1,0 - Unknown,Open,3/9/2020
805-345537-6485-2-Q,Fanechka,Goldsbury,Software,Software,Request,0 - Unassigned,34,0 - Unknown,Resolved,4/30/2020
054-778857-1428-0-T,Tait,Basten,Software,Access/Login,Request,2 - Medium,16,2 - Satisfied,Open,8/1/2020
253-303860-6155-8-P,Adriane,Lydden,Architecture,Hardware,Request,3 - High,19,2 - Satisfied,Open,4/2/2020
415-213012-3821-6-H,Lois,Bride,Hardware,Hardware,Request,0 - Unassigned,28,3 - Highly Satisfied,Open,10/3/2020
737-632354-4065-2-Y,Vlad,Giacomuzzi,Security and Governance,Access/Login,Request,3 - High,14,3 - Highly Satisfied,Open,10/28/2020
146-142159-9395-8-G,Berny,Yakovlev,Software,Software,Request,2 - Medium,18,0 - Unknown,Open,6/17/2020
008-088601-0232-3-V,Frederico,Babon,Architecture,Hardware,Request,1 - Low,12,3 - Highly Satisfied,Resolved,9/2/2020
209-594307-9176-5-I,Adamo,Mirams,Software,Access/Login,Issue,1 - Low,37,2 - Satisfied,Open,9/4/2020
898-982840-1311-1-V,Aile,Christy,Architecture,Hardware,Issue,2 - Medium,33,3 - Highly Satisfied,Open,5/7/2020
108-566696-0274-1-A,Petunia,Sedgeworth,Hardware,Hardware,Issue,2 - Medium,14,0 - Unknown,Open,10/9/2020
532-671186-2079-8-T,Clementia,Gallatly,Architecture,Hardware,Issue,3 - High,14,0 - Unknown,Open,3/30/2020
431-293032-3654-1-P,Coreen,Stolberger,Networking,Systems,Request,0 - Unassigned,18,0 - Unknown,Resolved,8/14/2020
309-943688-4616-5-V,Orrin,Owbrick,Software,Access/Login,Issue,3 - High,28,1 - Unsatisfied,Open,7/23/2020
564-222096-3799-5-E,Keslie,Aleavy,Software,Software,Issue,3 - High,13,3 - Highly Satisfied,Waiting for Requestor Feedback,8/18/2020
105-544176-3597-8-U,Kalindi,Gingell,Architecture,Systems,Request,2 - Medium,11,2 - Satisfied,Open,6/8/2020
401-212045-6890-9-R,Maurie,Michael,Architecture,Systems,Issue,0 - Unassigned,23,0 - Unknown,Open,8/8/2020
491-086047-1616-0-J,Cassius,Bradley,Software,Software,Issue,2 - Medium,10,3 - Highly Satisfied,Open,3/29/2020
083-660305-5560-5-C,Mikol,Baunton,Software,Software,Request,2 - Medium,9,3 - Highly Satisfied,Waiting for Requestor Feedback,5/4/2020
388-013977-5353-0-U,Amelia,Stinson,Hardware,Systems,Issue,0 - Unassigned,18,2 - Satisfied,Open,6/13/2020
938-624918-3706-8-T,Cece,Kilgrove,Hardware,Systems,Issue,2 - Medium,6,3 - Highly Satisfied,Open,3/22/2020
432-320860-8939-8-F,Whitaker,Locock,Security and Governance,Access/Login,Issue,0 - Unassigned,21,2 - Satisfied,Open,8/3/2020
133-377790-1761-4-G,Lana,Craythorne,Networking,Systems,Issue,0 - Unassigned,8,0 - Unknown,Open,6/14/2020
789-603971-1330-2-E,Jeanne,Messer,Software,Access/Login,Issue,0 - Unassigned,18,0 - Unknown,Open,7/31/2020
165-445508-5790-9-M,Solomon,Ogan,Architecture,Hardware,Issue,0 - Unassigned,22,0 - Unknown,Open,4/9/2020
609-022443-6770-1-V,Obed,Ricardon,Architecture,Hardware,Request,1 - Low,16,2 - Satisfied,Open,6/25/2020
804-606781-5215-6-C,Carey,Mixer,Software,Access/Login,Issue,0 - Unassigned,13,0 - Unknown,Open,8/29/2020
571-485986-3924-5-E,Jobi,Alyukin,Software,Software,Request,1 - Low,21,0 - Unknown,Resolved,6/2/2020
710-336067-7722-1-W,Bartholomeo,Marrable,Networking,Access/Login,Issue,2 - Medium,20,0 - Unknown,Open,5/24/2020
293-824334-1639-2-A,Tamas,Swire,Architecture,Systems,Request,1 - Low,35,1 - Unsatisfied,Open,5/4/2020
218-266284-4853-3-U,Erhard,Cottu,Security and Governance,Access/Login,Issue,2 - Medium,14,3 - Highly Satisfied,Open,9/30/2020
396-151596-2608-6-Q,Kristin,Rowsel,Networking,Systems,Issue,1 - Low,20,3 - Highly Satisfied,Resolved,9/3/2020
653-759283-6108-3-Z,Sibelle,Halle,Software,Access/Login,Issue,3 - High,36,3 - Highly Satisfied,Open,8/6/2020
083-921193-2249-1-W,Arne,Andraud,Networking,Systems,Issue,0 - Unassigned,8,3 - Highly Satisfied,Open,10/20/2020
418-544343-7419-4-A,Emerson,Wong,Security and Governance,Access/Login,Request,0 - Unassigned,11,3 - Highly Satisfied,Waiting for Requestor Feedback,8/29/2020
125-105730-4129-3-A,Monah,Gelsthorpe,Networking,Access/Login,Issue,3 - High,18,3 - Highly Satisfied,Waiting for Requestor Feedback,9/11/2020
447-953053-3000-8-R,Harlen,Veivers,Security and Governance,Access/Login,Issue,1 - Low,13,3 - Highly Satisfied,Open,3/18/2020
102-021491-6017-7-Q,Zena,Clace,Software,Software,Issue,0 - Unassigned,7,3 - Highly Satisfied,Open,8/29/2020
129-215225-1706-0-F,Peria,Pellamonuten,Security and Governance,Access/Login,Request,0 - Unassigned,17,3 - Highly Satisfied,Waiting for Requestor Feedback,5/25/2020
081-353206-2296-9-L,Hermina,Daubeny,Hardware,Hardware,Request,1 - Low,28,0 - Unknown,Open,6/30/2020
157-854823-6187-2-P,Gregory,Rouby,Networking,Access/Login,Issue,2 - Medium,7,2 - Satisfied,Waiting for Requestor Feedback,6/9/2020
374-593763-1209-7-L,Denys,Lawrinson,Software,Software,Request,3 - High,11,3 - Highly Satisfied,Open,3/20/2020
184-009245-3353-5-O,Clevie,O'Crotty,Security and Governance,Access/Login,Request,1 - Low,15,1 - Unsatisfied,Open,7/13/2020
856-209154-7836-8-P,See,Garforth,Software,Software,Issue,1 - Low,30,2 - Satisfied,Open,6/19/2020
491-306064-1297-1-J,Annabelle,BURWIN,Architecture,Hardware,Issue,1 - Low,15,3 - Highly Satisfied,Open,3/6/2020
102-972596-5531-3-I,Roby,Apfel,Hardware,Systems,Issue,3 - High,31,2 - Satisfied,Open,4/2/2020
554-942431-9737-3-G,Catharine,Swales,Architecture,Hardware,Issue,1 - Low,31,0 - Unknown,Open,10/22/2020
088-504959-1759-1-G,Warde,McKeighen,Security and Governance,Access/Login,Request,1 - Low,8,2 - Satisfied,Open,9/25/2020
803-055983-4700-7-B,Luis,Di Giacomo,Architecture,Hardware,Request,3 - High,1,0 - Unknown,Closed - No Action,9/28/2020
934-310066-2525-9-G,Thomasina,Epps,Networking,Access/Login,Issue,0 - Unassigned,13,0 - Unknown,Open,5/20/2020
366-778436-9336-0-P,Felicia,Gosnold,Architecture,Systems,Issue,1 - Low,11,0 - Unknown,Open,4/18/2020
696-583958-4126-6-Q,Di,Melwall,Architecture,Systems,Request,0 - Unassigned,22,0 - Unknown,Open,9/5/2020
820-530590-8365-8-S,Tessi,Itzkin,Software,Access/Login,Request,2 - Medium,2,1 - Unsatisfied,Open,3/2/2020
109-357771-1503-6-Q,Ealasaid,Farnhill,Security and Governance,Access/Login,Issue,2 - Medium,32,0 - Unknown,Open,8/25/2020
950-968514-6436-1-X,Lanette,Meech,Architecture,Systems,Request,2 - Medium,7,2 - Satisfied,Open,7/1/2020
700-891740-1594-5-V,Mona,Longbothom,Software,Access/Login,Request,3 - High,22,2 - Satisfied,Closed - No Action,10/16/2020
479-781687-6924-3-X,Hobart,Relph,Architecture,Hardware,Issue,0 - Unassigned,15,3 - Highly Satisfied,Open,3/10/2020
314-924599-2896-4-H,Kesley,Hannam,Architecture,Hardware,Request,3 - High,3,0 - Unknown,Open,7/27/2020
504-620042-4554-5-Q,Morrie,Landrean,Architecture,Systems,Request,1 - Low,29,0 - Unknown,Resolved,5/18/2020
412-679131-2025-7-P,Nessie,Carwithen,Hardware,Systems,Request,3 - High,10,2 - Satisfied,Open,3/3/2020
046-873860-0894-4-M,Dame,deKnevet,Software,Access/Login,Issue,0 - Unassigned,28,2 - Satisfied,Waiting for Requestor Feedback,7/24/2020
704-443199-5827-2-Z,Jaquelin,Stean,Hardware,Systems,Request,2 - Medium,10,0 - Unknown,Resolved,3/28/2020
300-964646-4142-9-H,Mahmud,Sargint,Hardware,Systems,Request,0 - Unassigned,24,2 - Satisfied,Open,8/15/2020
602-910031-6208-2-E,Douglas,Jellico,Hardware,Systems,Request,1 - Low,3,1 - Unsatisfied,Open,4/11/2020
850-088398-1055-3-G,Jonah,Goodday,Security and Governance,Access/Login,Issue,2 - Medium,29,0 - Unknown,Resolved,6/9/2020
899-021992-2414-3-Z,Ralina,Heartfield,Architecture,Hardware,Request,3 - High,5,0 - Unknown,Open,4/21/2020
009-867837-7976-8-F,Suzette,Faires,Hardware,Hardware,Request,0 - Unassigned,18,2 - Satisfied,Open,6/26/2020
305-946689-3191-3-C,Farra,Roelofs,Networking,Systems,Issue,1 - Low,11,3 - Highly Satisfied,Open,6/3/2020
478-571182-8993-4-A,Igor,Eassom,Architecture,Hardware,Request,1 - Low,34,0 - Unknown,Waiting for Requestor Feedback,8/16/2020
861-157805-9112-7-H,Andree,Shambrooke,Networking,Access/Login,Request,3 - High,18,1 - Unsatisfied,Open,10/25/2020
119-658064-8164-4-L,Jean,Allridge,Security and Governance,Access/Login,Issue,0 - Unassigned,9,2 - Satisfied,Open,10/28/2020
384-502128-8014-4-X,Serge,Milstead,Architecture,Hardware,Request,3 - High,12,0 - Unknown,Open,6/23/2020
285-085237-7931-5-Y,Julie,Ferdinand,Networking,Hardware,Issue,3 - High,37,0 - Unknown,Open,5/8/2020
807-924368-7641-9-A,Lorne,Bickerdike,Software,Access/Login,Issue,1 - Low,25,0 - Unknown,Open,6/8/2020
727-098547-1625-9-L,Kyle,Neames,Architecture,Systems,Issue,1 - Low,18,1 - Unsatisfied,Waiting for Requestor Feedback,3/25/2020
671-442239-7047-8-Z,Roshelle,Domini,Networking,Systems,Issue,1 - Low,35,3 - Highly Satisfied,Open,10/10/2020
920-421902-9120-6-K,Dierdre,Platfoot,Networking,Systems,Request,3 - High,26,2 - Satisfied,Open,7/26/2020
607-269255-3655-7-U,Monika,Neilan,Security and Governance,Access/Login,Request,1 - Low,27,0 - Unknown,Resolved,8/24/2020
338-402768-2373-5-B,Janifer,Beckhurst,Architecture,Systems,Issue,3 - High,9,0 - Unknown,Resolved,5/5/2020
112-475512-6220-7-T,Sergio,Andell,Hardware,Systems,Request,2 - Medium,27,1 - Unsatisfied,Open,5/29/2020
801-400764-1304-9-C,Imojean,Luten,Architecture,Hardware,Request,1 - Low,34,0 - Unknown,Waiting for Requestor Feedback,7/16/2020
659-730561-8331-0-P,Roscoe,Reinhard,Hardware,Hardware,Request,1 - Low,4,3 - Highly Satisfied,Open,6/4/2020
065-761524-9174-9-B,Karoline,Paradyce,Security and Governance,Access/Login,Request,2 - Medium,12,0 - Unknown,Waiting for Requestor Feedback,4/7/2020
146-549170-7040-2-D,Fairleigh,Izakoff,Hardware,Systems,Request,2 - Medium,4,3 - Highly Satisfied,Open,6/6/2020
594-580573-9292-7-V,Jethro,Bernardoni,Networking,Systems,Issue,2 - Medium,5,2 - Satisfied,Open,7/9/2020
504-146403-3347-6-O,Laurella,Whitmarsh,Hardware,Systems,Request,0 - Unassigned,16,3 - Highly Satisfied,Waiting for Requestor Feedback,9/21/2020
247-005342-6368-9-O,Leo,Rawsen,Security and Governance,Access/Login,Issue,0 - Unassigned,20,1 - Unsatisfied,Waiting for Requestor Feedback,3/22/2020
425-669829-7106-0-M,Bryana,Carcas,Architecture,Systems,Issue,1 - Low,24,2 - Satisfied,Open,7/7/2020
831-998190-4056-8-M,Theresa,McReedy,Architecture,Systems,Request,3 - High,30,0 - Unknown,Open,4/12/2020
828-810235-6811-3-I,Ellynn,Hegel,Hardware,Hardware,Request,1 - Low,20,0 - Unknown,Resolved,6/13/2020
812-485536-9506-0-A,Madelena,Blackhurst,Hardware,Hardware,Issue,2 - Medium,31,2 - Satisfied,Open,9/6/2020
705-862896-1548-2-A,Kerrill,Bateup,Architecture,Hardware,Request,1 - Low,32,2 - Satisfied,Open,5/19/2020
521-640489-9728-4-P,Isabelita,Stubbs,Hardware,Hardware,Issue,0 - Unassigned,28,2 - Satisfied,Resolved,3/2/2020
668-948563-9426-7-M,Tabbie,Hawkins,Software,Access/Login,Request,0 - Unassigned,7,0 - Unknown,Open,3/31/2020
338-578939-1706-6-P,Hayward,Cuddihy,Software,Access/Login,Issue,1 - Low,16,1 - Unsatisfied,Open,5/10/2020
865-916042-4385-1-T,Kathryne,Ephson,Software,Software,Request,3 - High,9,0 - Unknown,Open,8/14/2020
643-033476-3365-2-X,Reynolds,Lempenny,Software,Access/Login,Issue,1 - Low,11,0 - Unknown,Resolved,5/10/2020
496-959302-9588-2-S,Eleonora,Klasing,Software,Access/Login,Issue,2 - Medium,3,2 - Satisfied,Open,7/25/2020
301-896398-6483-3-W,Felice,Glastonbury,Architecture,Systems,Issue,3 - High,15,3 - Highly Satisfied,Open,8/3/2020
044-888505-2893-0-N,Cristabel,Fawley,Software,Software,Issue,0 - Unassigned,24,0 - Unknown,Waiting for Requestor Feedback,6/4/2020
252-445920-3667-2-Q,Lissie,Eisig,Architecture,Hardware,Request,2 - Medium,32,3 - Highly Satisfied,Open,4/1/2020
664-964982-9641-7-U,Becka,Paye,Networking,Hardware,Request,3 - High,37,0 - Unknown,Open,6/26/2020
115-218089-1804-0-X,Annaliese,Chessill,Architecture,Systems,Issue,0 - Unassigned,31,0 - Unknown,Resolved,3/16/2020
461-406739-2289-9-B,Clevey,Kezourec,Software,Software,Request,2 - Medium,30,2 - Satisfied,Closed - No Action,3/23/2020
370-669331-0183-6-A,Sheeree,Caltun,Security and Governance,Access/Login,Issue,1 - Low,33,0 - Unknown,Open,6/24/2020
282-013586-5801-2-M,Caldwell,Foulstone,Hardware,Systems,Issue,1 - Low,17,2 - Satisfied,Open,9/25/2020
431-751779-3678-7-A,Sibilla,Hankins,Networking,Access/Login,Request,2 - Medium,32,0 - Unknown,Open,5/12/2020
386-550666-2285-9-E,Sada,Redd,Architecture,Hardware,Issue,3 - High,3,0 - Unknown,Open,4/9/2020
900-871588-8730-6-L,Basilio,Strahan,Software,Software,Issue,0 - Unassigned,12,2 - Satisfied,Resolved,9/25/2020
493-302045-8404-4-L,Lambert,Andriesse,Security and Governance,Access/Login,Request,3 - High,5,1 - Unsatisfied,Open,6/13/2020
201-943068-4422-4-D,Freemon,Gipp,Hardware,Hardware,Request,2 - Medium,15,2 - Satisfied,Open,3/6/2020
349-114069-3137-9-Z,Paulie,Pieche,Software,Access/Login,Issue,3 - High,12,0 - Unknown,Open,4/15/2020
982-348912-5537-3-O,Abeu,cornhill,Software,Access/Login,Request,2 - Medium,27,3 - Highly Satisfied,Resolved,10/5/2020
372-869676-8489-6-B,Ashton,Priestnall,Hardware,Hardware,Issue,3 - High,9,2 - Satisfied,Open,4/14/2020
602-535708-0920-0-W,Shawnee,Kaufman,Hardware,Systems,Issue,3 - High,11,2 - Satisfied,Open,9/29/2020
053-462050-6234-3-Z,Marlowe,Sollas,Networking,Hardware,Issue,0 - Unassigned,27,0 - Unknown,Open,7/15/2020
442-759881-2151-0-P,Sonny,Goodbairn,Security and Governance,Access/Login,Issue,0 - Unassigned,12,0 - Unknown,Open,10/17/2020
905-159348-0540-8-P,Byram,Congreave,Software,Software,Issue,1 - Low,21,3 - Highly Satisfied,Resolved,4/23/2020
465-646985-9659-3-Q,Derron,Mallock,Software,Access/Login,Issue,0 - Unassigned,4,0 - Unknown,Open,4/8/2020
711-093074-9812-6-Q,Eduino,Rubinovici,Hardware,Hardware,Issue,0 - Unassigned,1,2 - Satisfied,Open,4/9/2020
069-247691-5129-8-X,Koren,Maunder,Networking,Hardware,Issue,0 - Unassigned,34,3 - Highly Satisfied,Open,9/3/2020
971-657637-2320-8-W,Erek,Yannoni,Networking,Systems,Issue,1 - Low,33,2 - Satisfied,Open,10/21/2020
725-941339-9981-4-K,Adolph,Aimson,Hardware,Systems,Request,2 - Medium,20,0 - Unknown,Waiting for Requestor Feedback,4/19/2020
695-014365-2759-7-T,Wendy,Goodfield,Security and Governance,Access/Login,Issue,1 - Low,13,3 - Highly Satisfied,Open,5/2/2020
806-485313-4023-3-S,Eada,Casewell,Software,Access/Login,Request,1 - Low,12,1 - Unsatisfied,Open,5/23/2020
634-164638-2783-5-O,Andrej,Yatman,Networking,Hardware,Request,2 - Medium,1,0 - Unknown,Open,5/13/2020
677-188742-1799-3-C,Allayne,Pedrol,Architecture,Hardware,Issue,1 - Low,22,2 - Satisfied,Open,6/7/2020
937-700078-1424-3-X,Harwilll,Drayn,Software,Access/Login,Request,2 - Medium,19,0 - Unknown,Waiting for Requestor Feedback,5/21/2020
951-631622-1569-0-R,Darleen,Bearn,Hardware,Hardware,Issue,1 - Low,27,2 - Satisfied,Resolved,10/1/2020
421-153219-7581-1-Z,Arch,Porch,Architecture,Systems,Request,2 - Medium,24,2 - Satisfied,Open,5/15/2020
286-276758-5643-0-N,Haven,Henden,Hardware,Systems,Request,1 - Low,18,3 - Highly Satisfied,Open,3/2/2020
416-062164-6936-4-H,David,Doughill,Networking,Hardware,Issue,3 - High,24,0 - Unknown,Open,6/8/2020
127-197055-7881-2-K,Sibeal,Balmadier,Security and Governance,Access/Login,Request,0 - Unassigned,15,2 - Satisfied,Open,5/16/2020
182-153900-1639-6-M,Teodoor,Gadeaux,Software,Access/Login,Request,3 - High,33,0 - Unknown,Open,7/9/2020
570-516971-5228-6-V,Erica,Casajuana,Software,Software,Issue,1 - Low,9,0 - Unknown,Waiting for Requestor Feedback,8/14/2020
728-266871-6897-7-M,Craggy,Duffy,Hardware,Hardware,Issue,1 - Low,4,1 - Unsatisfied,Waiting for Requestor Feedback,7/12/2020
460-466012-1844-8-Z,Rosalyn,Brettel,Security and Governance,Access/Login,Request,0 - Unassigned,1,0 - Unknown,Open,6/2/2020
298-508836-2540-7-V,Peria,Kestin,Architecture,Systems,Request,2 - Medium,32,0 - Unknown,Open,3/10/2020
685-751090-3202-6-E,Collie,Hopkyns,Security and Governance,Access/Login,Issue,1 - Low,1,2 - Satisfied,Resolved,9/5/2020
309-717612-9301-6-X,Bunni,Danilov,Networking,Systems,Request,3 - High,10,3 - Highly Satisfied,Open,9/11/2020
781-287641-7361-4-B,Vin,Lethibridge,Architecture,Hardware,Issue,1 - Low,17,0 - Unknown,Closed - No Action,8/22/2020
956-949064-6350-9-B,Hamel,Just,Security and Governance,Access/Login,Request,1 - Low,6,0 - Unknown,Resolved,3/29/2020
936-617868-1898-8-X,Oran,Mattys,Security and Governance,Access/Login,Issue,0 - Unassigned,30,0 - Unknown,Open,3/31/2020
942-193884-5231-0-W,Pier,McArt,Networking,Hardware,Request,0 - Unassigned,21,0 - Unknown,Waiting for Requestor Feedback,6/24/2020
803-138095-4151-2-U,Heddie,Baldrey,Hardware,Hardware,Issue,0 - Unassigned,24,0 - Unknown,Open,7/3/2020
155-920044-2515-8-L,Leena,Murrey,Software,Software,Request,1 - Low,28,0 - Unknown,Open,10/10/2020
196-927483-4604-5-Z,Sharleen,Aiston,Hardware,Hardware,Request,0 - Unassigned,28,1 - Unsatisfied,Open,10/21/2020
892-040675-9297-3-Y,Bert,Burel,Security and Governance,Access/Login,Issue,0 - Unassigned,16,2 - Satisfied,Open,3/24/2020
847-562018-1237-8-Y,Nickey,Sadler,Hardware,Systems,Request,1 - Low,26,3 - Highly Satisfied,Open,5/19/2020
960-034328-9124-2-U,Ignacius,Gowlett,Software,Access/Login,Issue,3 - High,16,0 - Unknown,Resolved,8/31/2020
530-912829-6143-4-Y,Maryl,Flippen,Networking,Hardware,Request,0 - Unassigned,29,2 - Satisfied,Resolved,4/22/2020
079-525428-0709-6-R,El,Filmer,Hardware,Hardware,Issue,2 - Medium,31,0 - Unknown,Open,9/29/2020
523-459192-2558-1-Y,Julius,Streatfeild,Hardware,Hardware,Issue,1 - Low,24,1 - Unsatisfied,Open,8/8/2020
238-130016-4205-2-Y,Verene,Nuzzetti,Software,Software,Issue,0 - Unassigned,17,1 - Unsatisfied,Open,6/4/2020
756-149130-3514-2-J,Kelcie,Victoria,Software,Software,Issue,3 - High,22,3 - Highly Satisfied,Open,8/31/2020
461-807807-1780-2-H,Jarrid,Yalden,Hardware,Systems,Issue,2 - Medium,16,3 - Highly Satisfied,Open,4/4/2020
838-842400-0340-1-U,Ahmad,Rowth,Networking,Hardware,Issue,3 - High,4,0 - Unknown,Open,4/30/2020
816-326881-5530-5-N,Jae,Siebert,Software,Access/Login,Issue,1 - Low,28,2 - Satisfied,Open,4/20/2020
165-793966-7066-2-P,Lilian,Cobello,Security and Governance,Access/Login,Issue,1 - Low,24,1 - Unsatisfied,Resolved,8/2/2020
531-500029-1863-9-I,Howard,Bosman,Architecture,Hardware,Issue,0 - Unassigned,7,3 - Highly Satisfied,Open,7/19/2020
812-016808-2123-0-O,Doralynne,Lilley,Networking,Access/Login,Issue,0 - Unassigned,15,3 - Highly Satisfied,Open,5/6/2020
082-177914-1658-6-C,Gillian,Ginsie,Networking,Hardware,Issue,0 - Unassigned,1,0 - Unknown,Waiting for Requestor Feedback,8/10/2020
582-356676-2360-3-A,Carolee,Iwanicki,Software,Access/Login,Issue,2 - Medium,4,0 - Unknown,Open,4/22/2020
386-411945-4589-7-I,Tallia,Dugald,Hardware,Hardware,Request,3 - High,29,0 - Unknown,Open,9/1/2020
116-628308-8495-1-Y,Clarette,Mattiacci,Architecture,Systems,Request,3 - High,17,2 - Satisfied,Open,9/24/2020
732-586224-3513-5-G,Tully,Cardello,Networking,Hardware,Request,1 - Low,34,3 - Highly Satisfied,Open,6/25/2020
071-859992-8758-6-Z,Pearce,Besnard,Security and Governance,Access/Login,Issue,0 - Unassigned,28,0 - Unknown,Open,9/28/2020
295-404454-5046-2-N,Jessalin,Treeby,Architecture,Systems,Request,1 - Low,16,0 - Unknown,Open,9/21/2020
515-207522-5087-6-F,Anallise,Cardenas,Software,Access/Login,Request,2 - Medium,27,2 - Satisfied,Open,5/30/2020
907-478635-1717-2-F,Alvina,Tafani,Security and Governance,Access/Login,Request,1 - Low,29,0 - Unknown,Open,10/9/2020
709-498988-7148-3-N,Yorgo,Capeloff,Architecture,Hardware,Request,0 - Unassigned,17,2 - Satisfied,Open,7/14/2020
976-025670-9855-6-Y,Gran,Ghirardi,Architecture,Systems,Request,1 - Low,22,0 - Unknown,Open,5/19/2020
714-603557-6931-1-O,Claudetta,Tattersill,Networking,Systems,Issue,0 - Unassigned,27,3 - Highly Satisfied,Resolved,10/22/2020
381-676087-8213-0-J,Amos,Sherred,Networking,Hardware,Request,1 - Low,35,0 - Unknown,Open,3/26/2020
320-723278-6593-4-P,Rosalind,Draaisma,Hardware,Systems,Request,2 - Medium,10,3 - Highly Satisfied,Open,6/10/2020
588-534262-9483-8-S,Courtney,Elvin,Hardware,Hardware,Request,0 - Unassigned,5,3 - Highly Satisfied,Open,4/1/2020
545-464160-2801-9-L,Aubrie,Hutsby,Software,Software,Issue,1 - Low,5,0 - Unknown,Open,6/26/2020
640-221985-3476-6-E,Urbanus,Tonkin,Networking,Hardware,Request,2 - Medium,37,0 - Unknown,Resolved,10/19/2020
226-184152-8735-6-I,Kerrill,Fritschel,Networking,Systems,Issue,3 - High,32,0 - Unknown,Open,4/19/2020
066-502617-0871-8-E,Roland,Stitt,Networking,Hardware,Issue,1 - Low,18,0 - Unknown,Open,8/16/2020
159-900986-5835-6-Y,Chantalle,Lange,Software,Software,Request,2 - Medium,33,0 - Unknown,Open,7/19/2020
005-434501-0396-2-E,Patten,Tamblyn,Networking,Hardware,Issue,2 - Medium,10,0 - Unknown,Open,9/20/2020
024-074290-7957-3-S,Raquela,Baiyle,Hardware,Hardware,Request,1 - Low,11,2 - Satisfied,Open,7/21/2020
671-337651-3181-3-B,Carita,Rushby,Security and Governance,Access/Login,Issue,0 - Unassigned,4,0 - Unknown,Open,9/26/2020
703-192596-0123-2-J,Tammi,Farman,Architecture,Systems,Request,0 - Unassigned,18,0 - Unknown,Open,3/21/2020
160-139319-3237-3-H,Germana,Merington,Software,Software,Request,0 - Unassigned,4,0 - Unknown,Resolved,8/25/2020
616-063714-6185-1-I,Lil,Faux,Networking,Systems,Request,0 - Unassigned,36,3 - Highly Satisfied,Open,6/26/2020
693-156706-8317-4-C,Konstantin,Jorgesen,Security and Governance,Access/Login,Request,2 - Medium,21,2 - Satisfied,Open,5/3/2020
999-725530-7959-1-Y,Kim,Barcke,Networking,Systems,Issue,3 - High,35,0 - Unknown,Open,10/12/2020
240-429355-5714-5-X,Ertha,Schneider,Hardware,Hardware,Request,2 - Medium,20,2 - Satisfied,Open,7/21/2020
311-912091-8936-8-R,Erny,O'Hederscoll,Hardware,Systems,Issue,1 - Low,34,0 - Unknown,Open,4/30/2020
